member_noSource,region_name,gender
2299,Africa,H
5339,Africa,H
5380,Africa,F
8902,Africa,F
8899,Africa,H
2294,Africa,F
2291,Africa,H
8893,Africa,H
489,Africa,H
5377,Africa,H
8881,Africa,H
8841,Africa,H
5421,Africa,H
501,Africa,H
5403,Africa,H
8868,Africa,F
5407,Africa,H
5388,Africa,F
5410,Africa,F
8874,Africa,F
2248,Africa,F
2246,Africa,F
2244,Africa,F
5436,Africa,F
5441,Africa,H
8848,Africa,F
2234,Africa,F
508,Africa,F
7389,Africa,H
1001,Africa,H
1256,Africa,F
7422,Africa,F
7418,Africa,F
1249,Africa,H
7416,Africa,F
7127,Africa,H
7135,Africa,H
7136,Africa,F
7141,Africa,H
1387,Africa,H
8056,Africa,F
7146,Africa,F
7151,Africa,H
1379,Africa,H
7822,Africa,F
7663,Africa,H
7819,Africa,H
1139,Africa,H
7620,Africa,F
7621,Africa,H
7627,Africa,H
7629,Africa,H
7630,Africa,F
7644,Africa,F
8064,Africa,F
7831,Africa,H
7655,Africa,H
7659,Africa,H
7805,Africa,H
1077,Africa,H
7810,Africa,F
1131,Africa,H
1066,Africa,F
1371,Africa,H
1370,Africa,F
7177,Africa,H
8070,Africa,F
8072,Africa,F
7110,Africa,F
942,Africa,F
7093,Africa,H
8082,Africa,F
8091,Africa,H
1411,Africa,H
7234,Africa,F
7375,Africa,H
7378,Africa,F
1263,Africa,H
7955,Africa,H
7385,Africa,H
7079,Africa,H
5359,Africa,H
938,Africa,F
8097,Africa,H
7178,Africa,F
7187,Africa,H
8038,Africa,F
1345,Africa,H
974,Africa,F
7223,Africa,H
7071,Africa,H
8067,Africa,H
8105,Africa,H
1429,Africa,H
7061,Africa,H
7063,Africa,H
8100,Africa,F
1423,Africa,H
7117,Africa,H
1171,Africa,H
8888,Africa,F
5341,Africa,H
8927,Africa,H
5301,Africa,H
5303,Africa,H
5304,Africa,F
2312,Africa,F
5283,Africa,H
5239,Africa,H
8956,Africa,F
5233,Africa,H
2386,Africa,F
5142,Africa,F
5143,Africa,H
5144,Africa,F
8930,Africa,F
5282,Africa,F
5243,Africa,H
5280,Africa,F
4972,Africa,F
9063,Africa,H
4965,Africa,H
2476,Africa,F
4953,Africa,H
5108,Africa,F
431,Africa,H
8760,Africa,F
5140,Africa,F
5244,Africa,F
2325,Africa,H
2322,Africa,F
5274,Africa,F
8939,Africa,H
5115,Africa,H
4977,Africa,H
5160,Africa,F
5166,Africa,F
1916,Africa,F
6105,Africa,H
6068,Africa,F
6121,Africa,H
1902,Africa,F
6131,Africa,H
683,Africa,H
6135,Africa,H
8525,Africa,H
8521,Africa,H
6148,Africa,F
6157,Africa,H
6119,Africa,H
6076,Africa,F
6073,Africa,H
5669,Africa,H
5639,Africa,H
5167,Africa,H
2379,Africa,H
2360,Africa,F
5230,Africa,F
2349,Africa,H
8968,Africa,F
5162,Africa,F
8969,Africa,H
2352,Africa,F
5202,Africa,F
2355,Africa,H
5200,Africa,F
5116,Africa,F
383,Africa,H
8970,Africa,F
4942,Africa,F
9074,Africa,F
4929,Africa,H
5592,Africa,F
5555,Africa,H
5551,Africa,H
8833,Africa,H
2218,Africa,F
5485,Africa,H
5493,Africa,H
8825,Africa,H
8823,Africa,H
530,Africa,F
5512,Africa,F
2204,Africa,F
2203,Africa,H
5633,Africa,H
5621,Africa,H
2161,Africa,H
557,Africa,H
5473,Africa,H
5481,Africa,H
8834,Africa,F
5556,Africa,F
5557,Africa,H
2190,Africa,F
5543,Africa,H
5563,Africa,H
8797,Africa,H
5583,Africa,H
5598,Africa,F
5600,Africa,F
5605,Africa,H
5610,Africa,F
5574,Africa,F
5536,Africa,F
5534,Africa,F
5532,Africa,F
9025,Africa,H
9021,Africa,H
2413,Africa,H
419,Africa,H
2410,Africa,F
5047,Africa,H
5049,Africa,H
9056,Africa,F
404,Africa,F
386,Africa,F
2512,Africa,F
4914,Africa,F
390,Africa,F
393,Africa,H
9057,Africa,H
2267,Africa,H
2436,Africa,F
4980,Africa,F
5529,Africa,H
5528,Africa,F
5524,Africa,F
5316,Africa,F
471,Africa,H
8920,Africa,F
5037,Africa,H
4981,Africa,H
9051,Africa,H
4988,Africa,F
2455,Africa,H
2453,Africa,H
2450,Africa,F
9032,Africa,F
406,Africa,F
7598,Africa,F
1125,Africa,H
7702,Africa,F
6810,Africa,F
6792,Africa,F
841,Africa,H
8239,Africa,H
6798,Africa,F
6799,Africa,H
8236,Africa,F
6801,Africa,H
8234,Africa,F
1541,Africa,H
6806,Africa,F
1546,Africa,F
6896,Africa,F
1555,Africa,H
6784,Africa,F
8246,Africa,F
1562,Africa,F
866,Africa,F
6878,Africa,F
1506,Africa,F
6893,Africa,H
6894,Africa,F
6852,Africa,F
6901,Africa,H
1500,Africa,F
6808,Africa,F
8257,Africa,H
6765,Africa,H
1566,Africa,F
6777,Africa,H
1564,Africa,F
6813,Africa,H
6868,Africa,F
898,Africa,F
900,Africa,F
883,Africa,H
1491,Africa,H
6923,Africa,H
6928,Africa,F
6929,Africa,H
886,Africa,F
1475,Africa,H
6964,Africa,F
8154,Africa,F
6960,Africa,F
6955,Africa,H
8157,Africa,H
1483,Africa,H
882,Africa,F
6916,Africa,F
6911,Africa,H
6974,Africa,F
6999,Africa,H
7000,Africa,F
1452,Africa,F
1450,Africa,F
8145,Africa,H
1447,Africa,H
6996,Africa,F
911,Africa,H
7020,Africa,F
1442,Africa,F
7030,Africa,F
1446,Africa,F
1469,Africa,H
8148,Africa,F
913,Africa,H
8208,Africa,F
847,Africa,H
8209,Africa,H
4243,Africa,H
3062,Africa,F
226,Africa,F
9680,Africa,F
9422,Africa,F
4188,Africa,F
3048,Africa,F
90,Africa,F
3708,Africa,F
3702,Africa,F
4198,Africa,F
88,Africa,F
4207,Africa,H
4253,Africa,H
2792,Africa,F
9689,Africa,H
86,Africa,F
4487,Africa,H
4488,Africa,F
9743,Africa,H
4491,Africa,H
9744,Africa,F
3122,Africa,F
9410,Africa,F
320,Africa,F
4216,Africa,F
4228,Africa,F
4238,Africa,F
2808,Africa,F
3691,Africa,H
4245,Africa,H
3614,Africa,F
2813,Africa,H
4343,Africa,H
9385,Africa,H
3068,Africa,F
3663,Africa,H
4296,Africa,F
4299,Africa,H
4287,Africa,H
4058,Africa,F
2776,Africa,F
2212,Africa,F
8223,Africa,H
6822,Africa,F
1528,Africa,F
6831,Africa,H
6839,Africa,H
6843,Africa,H
4895,Africa,H
6941,Africa,H
4305,Africa,H
2783,Africa,H
4268,Africa,F
2770,Africa,F
2766,Africa,F
3075,Africa,H
4321,Africa,H
3073,Africa,H
2777,Africa,H
3642,Africa,F
9350,Africa,F
3629,Africa,H
3092,Africa,F
3619,Africa,H
260,Africa,F
9381,Africa,H
4338,Africa,F
1489,Africa,H
6758,Africa,F
7037,Africa,H
1041,Africa,H
7864,Africa,F
1044,Africa,F
7560,Africa,F
7566,Africa,F
1190,Africa,F
7571,Africa,H
7578,Africa,F
7580,Africa,F
1197,Africa,H
7583,Africa,H
7888,Africa,F
7489,Africa,H
7887,Africa,H
1200,Africa,F
7541,Africa,H
7533,Africa,H
8304,Africa,F
6643,Africa,H
1635,Africa,H
8311,Africa,H
8313,Africa,H
812,Africa,F
7423,Africa,H
8261,Africa,H
7049,Africa,H
7515,Africa,H
7516,Africa,F
7881,Africa,H
7524,Africa,F
1038,Africa,F
1435,Africa,H
7424,Africa,F
7428,Africa,F
7430,Africa,F
7795,Africa,H
1118,Africa,F
7793,Africa,H
7703,Africa,H
7728,Africa,F
7786,Africa,F
1080,Africa,F
1107,Africa,H
1097,Africa,H
7751,Africa,H
7756,Africa,F
7777,Africa,H
7759,Africa,H
7729,Africa,H
7740,Africa,F
6617,Africa,H
7718,Africa,F
7704,Africa,F
7443,Africa,H
7458,Africa,F
7459,Africa,H
1233,Africa,H
7467,Africa,H
7471,Africa,H
7799,Africa,H
7898,Africa,F
7483,Africa,H
7487,Africa,H
1024,Africa,F
1176,Africa,F
1051,Africa,H
1173,Africa,H
7482,Africa,F
1443,Mid East / Sout,H
6616,Africa,F
6613,Africa,H
1692,Africa,F
6552,Africa,F
6554,Africa,F
8373,Africa,H
6562,Africa,F
6500,Africa,F
6496,Africa,F
1766,Africa,F
1752,Africa,F
6423,Africa,H
6440,Africa,F
8406,Africa,F
6499,Africa,H
8360,Africa,F
6535,Africa,H
6527,Africa,H
6525,Africa,H
8260,Africa,F
1584,Africa,F
6507,Africa,H
772,Africa,F
8382,Africa,F
773,Africa,H
6441,Africa,H
8380,Africa,F
1716,Africa,F
8377,Africa,H
6515,Africa,H
6506,Africa,F
6516,Africa,F
6518,Africa,F
6508,Africa,F
1741,Africa,H
1740,Africa,F
6462,Africa,F
6727,Africa,H
8269,Africa,H
6741,Africa,H
1585,Africa,H
8279,Africa,H
6664,Africa,F
1596,Africa,F
1627,Africa,H
797,Africa,H
1671,Africa,H
6580,Africa,F
802,Africa,F
1651,Africa,H
8327,Africa,H
6647,Africa,H
6614,Africa,F
6710,Africa,F
6674,Africa,F
1739,Africa,H
6465,Africa,H
765,Africa,H
6471,Africa,H
6495,Africa,H
6564,Africa,F
8281,Africa,H
6570,Africa,F
1613,Africa,H
1612,Africa,F
6687,Africa,H
6689,Africa,H
1606,Africa,F
6705,Africa,H
1616,Africa,F
5734,China,F
3195,Mid East / Sout,H
7547,Mid East / Sout,H
8506,Mid East / Sout,F
9791,Mid East / Sout,H
8464,Mid East / Sout,F
9725,Mid East / Sout,H
8479,Mid East / Sout,H
63,Mid East / Sout,H
9648,Mid East / Sout,F
9728,Mid East / Sout,F
800,Mid East / Sout,F
108,Mid East / Sout,F
8342,Mid East / Sout,F
9629,Mid East / Sout,H
8396,Mid East / Sout,F
8394,Mid East / Sout,F
8489,Mid East / Sout,H
9697,Mid East / Sout,H
702,Mid East / Sout,F
8410,Mid East / Sout,F
817,Mid East / Sout,H
36,Mid East / Sout,F
8505,Mid East / Sout,H
9694,Mid East / Sout,F
8320,Mid East / Sout,F
9716,Mid East / Sout,F
8481,Mid East / Sout,H
9701,Mid East / Sout,H
1057,Mid East / Sout,H
8487,Mid East / Sout,H
747,Mid East / Sout,H
8352,Mid East / Sout,F
740,Mid East / Sout,F
9708,Mid East / Sout,F
700,Mid East / Sout,F
7855,Mid East / Sout,H
1083,Mid East / Sout,H
8175,Mid East / Sout,H
538,Mid East / Sout,F
9152,Mid East / Sout,F
8805,Mid East / Sout,H
9163,Mid East / Sout,H
8803,Mid East / Sout,H
9170,Mid East / Sout,F
9139,Mid East / Sout,H
8029,Mid East / Sout,H
8170,Mid East / Sout,F
8164,Mid East / Sout,F
8159,Mid East / Sout,H
8847,Mid East / Sout,H
9147,Mid East / Sout,H
371,Mid East / Sout,H
1036,Mid East / Sout,F
7937,Mid East / Sout,H
7847,Mid East / Sout,H
9826,Mid East / Sout,F
7789,Mid East / Sout,H
694,Mid East / Sout,F
9662,Mid East / Sout,F
7854,Mid East / Sout,F
9837,Mid East / Sout,H
8431,Mid East / Sout,H
7785,Mid East / Sout,H
1064,Mid East / Sout,F
39,Mid East / Sout,H
9835,Mid East / Sout,H
791,Mid East / Sout,H
701,Mid East / Sout,H
1050,Mid East / Sout,F
8346,Mid East / Sout,F
1056,Mid East / Sout,F
8321,Mid East / Sout,H
9763,Mid East / Sout,H
9880,Mid East / Sout,F
9767,Mid East / Sout,H
9915,Mid East / Sout,H
9624,Mid East / Sout,F
8549,Mid East / Sout,H
664,Mid East / Sout,F
9859,Mid East / Sout,H
6,Mid East / Sout,F
822,Mid East / Sout,F
9868,Mid East / Sout,F
55,Mid East / Sout,H
1071,Mid East / Sout,H
9967,Mid East / Sout,H
57,Mid East / Sout,H
9996,Mid East / Sout,F
727,Mid East / Sout,H
9978,Mid East / Sout,F
9758,Mid East / Sout,F
9934,Mid East / Sout,F
9730,Mid East / Sout,F
9951,Mid East / Sout,H
9619,Mid East / Sout,H
9870,Mid East / Sout,F
9904,Mid East / Sout,F
9895,Mid East / Sout,H
8437,Mid East / Sout,H
9947,Mid East / Sout,H
8365,Mid East / Sout,H
9919,Mid East / Sout,H
8340,Mid East / Sout,F
9853,Mid East / Sout,H
9753,Mid East / Sout,H
8574,Mid East / Sout,F
9874,Mid East / Sout,F
7873,Mid East / Sout,H
8454,Mid East / Sout,F
9864,Mid East / Sout,F
8567,Mid East / Sout,H
9592,Mid East / Sout,F
9858,Mid East / Sout,F
7872,Mid East / Sout,F
9637,Mid East / Sout,H
8498,Mid East / Sout,F
8428,Mid East / Sout,F
809,Mid East / Sout,H
9686,Mid East / Sout,F
9685,Mid East / Sout,H
7833,Mid East / Sout,H
681,Mid East / Sout,H
514,Mid East / Sout,F
8368,Mid East / Sout,F
784,Mid East / Sout,F
8288,Mid East / Sout,F
8337,Mid East / Sout,H
8336,Mid East / Sout,F
8378,Mid East / Sout,F
8447,Mid East / Sout,H
9755,Mid East / Sout,H
126,Mid East / Sout,F
9866,Mid East / Sout,F
7778,Mid East / Sout,F
7867,Mid East / Sout,H
9615,Mid East / Sout,H
9739,Mid East / Sout,H
767,Mid East / Sout,H
726,Mid East / Sout,F
8568,Mid East / Sout,F
5460,China,F
8843,Mid East / Sout,H
517,Mid East / Sout,H
8624,Mid East / Sout,F
9502,Mid East / Sout,F
9465,Mid East / Sout,H
7916,Mid East / Sout,F
8264,Mid East / Sout,F
8259,Mid East / Sout,H
9441,Mid East / Sout,H
7923,Mid East / Sout,H
9505,Mid East / Sout,H
206,Mid East / Sout,F
9452,Mid East / Sout,F
9453,Mid East / Sout,H
7918,Mid East / Sout,F
9498,Mid East / Sout,F
8268,Mid East / Sout,F
7907,Mid East / Sout,H
9486,Mid East / Sout,F
413,Mid East / Sout,H
9029,Mid East / Sout,H
8144,Mid East / Sout,F
9035,Mid East / Sout,H
9037,Mid East / Sout,H
410,Mid East / Sout,F
8263,Mid East / Sout,H
8063,Mid East / Sout,H
9271,Mid East / Sout,H
306,Mid East / Sout,F
8748,Mid East / Sout,F
9477,Mid East / Sout,H
9482,Mid East / Sout,F
189,Mid East / Sout,H
8889,Mid East / Sout,H
8142,Mid East / Sout,F
614,Mid East / Sout,F
637,Mid East / Sout,H
1026,Mid East / Sout,F
1032,Mid East / Sout,F
169,Mid East / Sout,H
7891,Mid East / Sout,H
8598,Mid East / Sout,F
167,Mid East / Sout,F
171,Mid East / Sout,H
9579,Mid East / Sout,H
9433,Mid East / Sout,H
222,Mid East / Sout,F
9316,Mid East / Sout,F
7972,Mid East / Sout,F
9325,Mid East / Sout,H
172,Mid East / Sout,F
7896,Mid East / Sout,F
9530,Mid East / Sout,F
8272,Mid East / Sout,F
160,Mid East / Sout,F
9553,Mid East / Sout,H
1033,Mid East / Sout,H
9559,Mid East / Sout,H
9560,Mid East / Sout,F
150,Mid East / Sout,F
9506,Mid East / Sout,F
8586,Mid East / Sout,F
8580,Mid East / Sout,F
163,Mid East / Sout,H
9544,Mid East / Sout,F
8277,Mid East / Sout,H
8596,Mid East / Sout,F
9513,Mid East / Sout,H
9571,Mid East / Sout,H
9019,Mid East / Sout,H
8896,Mid East / Sout,F
8075,Mid East / Sout,H
8186,Mid East / Sout,F
9194,Mid East / Sout,F
962,Mid East / Sout,F
8788,Mid East / Sout,F
9208,Mid East / Sout,F
8193,Mid East / Sout,H
8854,Mid East / Sout,F
961,Mid East / Sout,H
8988,Mid East / Sout,F
465,Mid East / Sout,H
8919,Mid East / Sout,H
8090,Mid East / Sout,F
426,Mid East / Sout,F
8184,Mid East / Sout,F
8023,Mid East / Sout,H
9221,Mid East / Sout,H
8777,Mid East / Sout,H
520,Mid East / Sout,F
9176,Mid East / Sout,F
9177,Mid East / Sout,H
356,Mid East / Sout,F
9226,Mid East / Sout,F
9232,Mid East / Sout,F
425,Mid East / Sout,H
8771,Mid East / Sout,H
9242,Mid East / Sout,F
8765,Mid East / Sout,H
8206,Mid East / Sout,F
9255,Mid East / Sout,H
9263,Mid East / Sout,H
980,Mid East / Sout,F
8202,Mid East / Sout,F
904,Mid East / Sout,F
8914,Mid East / Sout,F
420,Mid East / Sout,F
417,Mid East / Sout,H
8867,Mid East / Sout,H
9071,Mid East / Sout,H
780,Mid East / Sout,F
397,Mid East / Sout,H
394,Mid East / Sout,F
8964,Mid East / Sout,F
388,Mid East / Sout,F
510,Mid East / Sout,F
9090,Mid East / Sout,F
9061,Mid East / Sout,H
8877,Mid East / Sout,H
8878,Mid East / Sout,F
9049,Mid East / Sout,H
9086,Mid East / Sout,F
8044,Mid East / Sout,F
8938,Mid East / Sout,F
441,Mid East / Sout,H
473,Mid East / Sout,H
8136,Mid East / Sout,F
435,Mid East / Sout,H
438,Mid East / Sout,F
461,Mid East / Sout,H
927,Mid East / Sout,H
8943,Mid East / Sout,H
919,Mid East / Sout,H
453,Mid East / Sout,H
452,Mid East / Sout,F
449,Mid East / Sout,H
940,Mid East / Sout,F
8120,Mid East / Sout,F
442,Mid East / Sout,F
8953,Mid East / Sout,H
277,Mid East / Sout,H
5547,China,H
1775,China,H
1940,China,F
8579,China,H
6036,China,F
6027,China,H
656,China,F
8588,China,F
5987,China,H
6046,China,F
651,China,H
6056,China,F
5994,China,F
6055,China,H
5995,China,H
1956,China,F
1939,China,H
1932,China,F
8626,China,F
8561,China,H
6064,China,F
5955,China,H
1931,China,H
1924,China,F
635,China,H
6002,China,F
5929,China,H
8546,China,F
2003,China,H
5940,China,F
8614,China,F
6091,China,H
5948,China,F
6104,China,F
6074,China,F
6003,China,H
6048,China,F
5857,China,H
698,China,F
5860,China,F
8949,China,H
5866,China,F
5926,China,F
5880,China,F
8520,China,F
8638,China,F
5913,China,H
5914,China,F
8633,China,H
5917,China,H
6181,China,H
1868,China,F
8669,China,H
607,China,H
6047,China,H
6007,China,H
2058,China,F
8540,China,F
1878,China,F
2041,China,H
1968,China,F
6164,China,F
5874,China,F
1882,China,F
2037,China,H
8518,China,F
689,China,H
1885,China,H
8652,China,F
1987,China,H
8556,China,F
1992,China,F
705,China,H
1844,China,F
8697,China,H
5835,China,H
5700,China,F
5698,China,F
8773,China,H
2165,China,H
2164,China,F
6302,China,F
8770,China,F
8767,China,H
5622,China,F
5793,China,H
1841,China,H
2089,China,H
6225,China,H
2128,China,F
583,China,H
5774,China,F
8499,China,H
5808,China,F
592,China,F
555,China,H
5819,China,H
2066,China,F
5827,China,H
1855,China,H
8695,China,H
586,China,F
589,China,H
5820,China,F
560,China,F
2167,China,H
8776,China,F
6030,China,F
5642,China,F
6297,China,H
1810,China,F
5650,China,F
2146,China,F
5665,China,H
8752,China,F
5671,China,H
5579,China,H
6210,China,F
6197,China,H
1996,China,F
6081,China,H
5664,China,F
682,China,F
2158,China,F
6274,China,F
2184,China,F
550,China,F
5586,China,F
2178,China,F
5595,China,H
6315,China,H
5674,China,F
718,China,F
715,China,H
713,China,H
8472,China,F
8743,China,H
5686,China,F
5691,China,H
5628,China,F
6383,China,H
2019,China,H
1907,China,H
1724,China,F
6481,China,H
6477,China,H
5323,China,H
8908,China,F
655,China,H
2198,China,F
5553,China,H
8796,China,F
8442,China,F
6337,China,H
5522,China,F
5550,China,F
5321,China,H
2306,China,F
2307,China,H
8916,China,F
8918,China,F
8905,China,H
6467,China,H
483,China,H
8900,China,F
5343,China,H
544,China,F
5344,China,F
8400,China,F
8907,China,H
761,China,H
1733,China,H
5326,China,F
5315,China,H
6460,China,F
1721,China,H
5472,China,F
6373,China,H
6386,China,F
5531,China,H
6350,China,F
5535,China,H
5445,China,H
8804,China,F
547,China,H
8424,China,F
8845,China,H
8821,China,H
5544,China,F
1784,China,F
5549,China,H
2188,China,F
2189,China,H
6376,China,F
537,China,H
2200,China,F
5483,China,H
525,China,H
5499,China,H
5505,China,H
5510,China,F
518,China,F
1779,China,H
542,China,F
8829,China,H
8816,China,F
1778,China,F
5486,China,F
526,China,F
6362,China,F
5272,China,F
2326,China,F
6502,China,F
5394,China,F
2260,China,F
2261,China,H
8405,China,H
2263,China,H
1745,China,H
5352,China,F
5358,China,F
2286,China,F
6450,China,F
5369,China,H
2272,China,F
2271,China,H
6431,China,H
497,China,H
8873,China,H
561,China,H
618,China,F
6150,China,F
5900,China,F
684,China,F
5883,China,H
5885,China,H
8869,China,H
6145,China,H
2029,China,H
1894,China,F
5891,China,H
617,China,H
5899,China,H
5578,China,F
1888,China,F
5405,China,H
6425,China,H
1761,China,H
466,China,F
5295,China,H
8929,China,H
2315,China,H
8937,China,H
5281,China,H
5349,China,H
8942,China,F
2320,China,F
5255,China,H
5257,China,H
5258,China,F
5261,China,H
5265,China,H
1719,China,H
8628,China,F
5351,China,H
1754,China,F
8857,China,H
511,China,H
2243,China,H
6394,China,F
5434,China,F
5439,China,H
6410,China,F
5426,China,F
1760,China,F
6415,China,H
5577,China,H
2253,China,H
5416,China,F
5419,China,H
6453,China,H
8714,Mid East / Sout,F
8713,Mid East / Sout,H
9332,Mid East / Sout,F
5009,Mid East / Sout,H
5011,Mid East / Sout,H
5020,Mid East / Sout,F
4836,Mid East / Sout,F
5022,Mid East / Sout,F
2451,Mid East / Sout,H
5034,Mid East / Sout,F
5036,Mid East / Sout,F
4831,Mid East / Sout,H
4827,Mid East / Sout,H
2441,Mid East / Sout,H
4824,Mid East / Sout,F
4997,Mid East / Sout,H
4815,Mid East / Sout,H
2434,Mid East / Sout,F
5052,Mid East / Sout,F
4801,Mid East / Sout,H
2522,Mid East / Sout,F
2499,Mid East / Sout,H
2465,Mid East / Sout,H
2460,Mid East / Sout,F
2459,Mid East / Sout,H
5054,Mid East / Sout,F
5335,Mid East / Sout,H
2431,Mid East / Sout,H
5067,Mid East / Sout,H
5068,Mid East / Sout,F
2432,Mid East / Sout,F
5073,Mid East / Sout,H
2417,Mid East / Sout,H
4802,Mid East / Sout,F
5060,Mid East / Sout,F
4918,Mid East / Sout,F
2614,Mid East / Sout,F
5611,Mid East / Sout,H
5564,Mid East / Sout,F
5567,Mid East / Sout,H
5570,Mid East / Sout,F
5571,Mid East / Sout,H
5575,Mid East / Sout,H
5638,Mid East / Sout,F
5539,Mid East / Sout,H
5646,Mid East / Sout,F
5652,Mid East / Sout,F
4454,Mid East / Sout,F
2117,Mid East / Sout,H
4439,Mid East / Sout,H
4432,Mid East / Sout,F
4509,Mid East / Sout,H
5562,Mid East / Sout,F
2701,Mid East / Sout,H
2700,Mid East / Sout,F
4492,Mid East / Sout,F
5616,Mid East / Sout,F
2173,Mid East / Sout,H
5620,Mid East / Sout,F
4489,Mid East / Sout,H
5623,Mid East / Sout,H
5608,Mid East / Sout,F
2160,Mid East / Sout,F
2174,Mid East / Sout,F
2704,Mid East / Sout,F
5548,Mid East / Sout,F
2192,Mid East / Sout,F
4523,Mid East / Sout,H
4515,Mid East / Sout,H
5625,Mid East / Sout,H
4876,Mid East / Sout,F
2505,Mid East / Sout,H
4877,Mid East / Sout,H
4746,Mid East / Sout,F
5234,Mid East / Sout,F
4715,Mid East / Sout,H
2592,Mid East / Sout,F
5292,Mid East / Sout,F
5293,Mid East / Sout,H
5296,Mid East / Sout,F
2587,Mid East / Sout,H
5298,Mid East / Sout,F
5311,Mid East / Sout,H
5312,Mid East / Sout,F
2602,Mid East / Sout,F
4682,Mid East / Sout,F
2391,Mid East / Sout,H
5224,Mid East / Sout,F
2567,Mid East / Sout,H
4774,Mid East / Sout,F
2575,Mid East / Sout,H
2348,Mid East / Sout,F
5216,Mid East / Sout,F
5221,Mid East / Sout,H
5222,Mid East / Sout,F
2576,Mid East / Sout,F
4707,Mid East / Sout,H
2377,Mid East / Sout,H
2389,Mid East / Sout,H
4788,Mid East / Sout,F
4786,Mid East / Sout,F
5154,Mid East / Sout,F
2564,Mid East / Sout,F
5164,Mid East / Sout,F
5137,Mid East / Sout,H
2316,Mid East / Sout,F
2317,Mid East / Sout,H
4722,Mid East / Sout,F
2491,Mid East / Sout,H
4975,Mid East / Sout,H
4848,Mid East / Sout,F
4841,Mid East / Sout,H
2535,Mid East / Sout,H
2470,Mid East / Sout,F
2529,Mid East / Sout,H
2468,Mid East / Sout,F
4940,Mid East / Sout,F
2496,Mid East / Sout,F
4930,Mid East / Sout,F
4897,Mid East / Sout,H
4898,Mid East / Sout,F
4902,Mid East / Sout,F
4852,Mid East / Sout,F
4431,Mid East / Sout,H
4969,Mid East / Sout,H
4966,Mid East / Sout,F
2338,Mid East / Sout,F
5238,Mid East / Sout,F
4740,Mid East / Sout,F
4735,Mid East / Sout,H
5271,Mid East / Sout,H
2319,Mid East / Sout,H
4968,Mid East / Sout,F
4727,Mid East / Sout,H
4724,Mid East / Sout,F
5232,Mid East / Sout,F
4681,Mid East / Sout,H
2393,Mid East / Sout,H
4792,Mid East / Sout,F
4957,Mid East / Sout,H
5277,Mid East / Sout,H
5195,Mid East / Sout,H
4456,Mid East / Sout,F
2100,Mid East / Sout,F
3061,Mid East / Sout,H
3444,Mid East / Sout,F
7050,Mid East / Sout,F
7051,Mid East / Sout,H
1430,Mid East / Sout,F
7485,Mid East / Sout,H
7062,Mid East / Sout,F
3690,Mid East / Sout,F
7083,Mid East / Sout,H
3694,Mid East / Sout,F
1415,Mid East / Sout,H
3172,Mid East / Sout,F
3644,Mid East / Sout,F
7064,Mid East / Sout,F
3688,Mid East / Sout,F
3687,Mid East / Sout,H
7067,Mid East / Sout,H
5475,Mid East / Sout,H
5477,Mid East / Sout,H
2220,Mid East / Sout,F
4572,Mid East / Sout,F
2676,Mid East / Sout,F
4567,Mid East / Sout,H
1405,Mid East / Sout,H
5488,Mid East / Sout,F
4885,Mid East / Sout,H
3063,Mid East / Sout,H
3683,Mid East / Sout,H
3685,Mid East / Sout,H
3467,Mid East / Sout,H
7069,Mid East / Sout,H
3931,Mid East / Sout,H
2222,Mid East / Sout,F
3657,Mid East / Sout,H
7103,Mid East / Sout,H
1198,Mid East / Sout,F
7554,Mid East / Sout,F
1468,Mid East / Sout,F
3199,Mid East / Sout,H
3741,Mid East / Sout,H
1487,Mid East / Sout,H
3753,Mid East / Sout,H
3030,Mid East / Sout,F
6944,Mid East / Sout,F
6947,Mid East / Sout,H
6954,Mid East / Sout,F
3409,Mid East / Sout,H
3744,Mid East / Sout,F
1462,Mid East / Sout,F
3728,Mid East / Sout,F
3040,Mid East / Sout,F
7550,Mid East / Sout,F
1407,Mid East / Sout,H
3482,Mid East / Sout,F
3480,Mid East / Sout,F
7085,Mid East / Sout,H
1414,Mid East / Sout,F
3474,Mid East / Sout,F
7456,Mid East / Sout,F
7463,Mid East / Sout,H
7462,Mid East / Sout,F
7095,Mid East / Sout,H
3478,Mid East / Sout,F
7476,Mid East / Sout,F
1431,Mid East / Sout,H
1432,Mid East / Sout,F
3673,Mid East / Sout,H
4579,Mid East / Sout,H
2231,Mid East / Sout,H
4580,Mid East / Sout,F
5649,Mid East / Sout,H
4528,Mid East / Sout,F
5533,Mid East / Sout,H
4611,Mid East / Sout,H
4609,Mid East / Sout,H
5401,Mid East / Sout,H
5402,Mid East / Sout,F
5422,Mid East / Sout,F
4623,Mid East / Sout,H
2247,Mid East / Sout,H
2245,Mid East / Sout,H
4586,Mid East / Sout,F
5442,Mid East / Sout,F
5705,Mid East / Sout,H
2715,Mid East / Sout,H
2714,Mid East / Sout,F
4473,Mid East / Sout,H
5757,Mid East / Sout,H
2094,Mid East / Sout,F
4423,Mid East / Sout,H
4421,Mid East / Sout,H
5752,Mid East / Sout,F
5709,Mid East / Sout,H
5444,Mid East / Sout,F
2144,Mid East / Sout,F
4481,Mid East / Sout,H
5667,Mid East / Sout,H
4479,Mid East / Sout,H
2141,Mid East / Sout,H
4476,Mid East / Sout,F
2138,Mid East / Sout,F
5658,Mid East / Sout,F
5446,Mid East / Sout,F
5425,Mid East / Sout,H
5397,Mid East / Sout,H
1089,Mid East / Sout,H
