total,category_desc,member,region
20770.40,Entertainment,29021,Africa
69334.40,Lodging,25912,South American
55733.80,Meals,20425,Japan
65384.30,Electronics,27399,Eastern Europea
129685.20,Lodging,20379,China
98860.00,Entertainment,26766,Eastern Europea
246089.80,Home Supplies,26044,South American
100057.00,Entertainment,26551,Scandanavian
310003.50,Meals,20763,China
126002.60,Clothing,25818,Scandanavian
75849.50,Electronics,27061,Western Europea
123791.80,Home Supplies,26382,Scandanavian
12750.50,Lodging,20041,China
80791.40,Groceries,22480,Africa
60887.00,Communication,23150,Africa
93775.20,Communication,27896,Western Europea
15708.80,Misc,24317,Mid East / Sout
3516.50,Communication,22363,Japan
113805.40,Clothing,25480,Scandanavian
277257.00,Electronics,21977,Japan
137762.50,Home Supplies,23322,Africa
93268.30,Lodging,28508,Eastern Europea
1806.50,Clothing,24309,Mid East / Sout
20206.10,Lodging,28849,Scandanavian
10356.50,Misc,22554,Africa
67378.90,Groceries,21055,China
234262.70,Lodging,23101,Africa
43291.10,Travel,23483,Africa
177873.00,Electronics,29998,Mid East / Sout
182404.50,Groceries,28477,Western Europea
22799.20,Clothing,27031,South American
282512.80,Communication,25174,Western Europea
253042.20,Clothing,22884,Africa
21078.20,Misc,24320,Mid East / Sout
66615.50,Misc,22428,Africa
170086.40,Electronics,25037,Scandanavian
113919.00,Meals,29997,Japan
169453.70,Groceries,28735,Japan
284.60,Meals,28443,Western Europea
46762.40,Communication,23153,Africa
21625.40,Lodging,26038,South American
17264.90,Electronics,25633,South American
284148.30,Electronics,29657,Western Europea
39050.30,Meals,22191,Japan
52747.40,Lodging,28059,Western Europea
45035.30,Communication,23408,Africa
103972.90,Communication,24959,Scandanavian
182580.40,Home Supplies,21298,Eastern Europea
49293.20,Meals,22317,Japan
26635.70,Groceries,25543,Western Europea
121802.10,Clothing,22755,Mid East / Sout
145776.30,Meals,25383,Western Europea
134599.00,Misc,24575,Mid East / Sout
95827.20,Home Supplies,21301,Eastern Europea
89910.60,Meals,22655,Africa
223478.70,Electronics,25169,Western Europea
76886.50,Home Supplies,29107,South American
33834.80,Communication,25426,South American
109000.30,Home Supplies,26385,South American
14221.10,Home Supplies,26170,South American
20570.10,Clothing,27372,Eastern Europea
36297.20,Lodging,20038,Africa
145280.40,Communication,25297,Western Europea
33458.60,Entertainment,23958,China
2883.80,Communication,20342,China
39392.30,Clothing,22417,Africa
77553.40,Misc,24105,Mid East / Sout
83886.50,Electronics,22318,Japan
31782.80,Misc,27380,Eastern Europea
15161.60,Home Supplies,26640,South American
53801.50,Groceries,22606,Africa
27405.20,Meals,22188,Japan
9604.10,Communication,28025,Western Europea
81287.30,Entertainment,28572,Scandanavian
80785.30,Misc,24446,Mid East / Sout
26174.00,Home Supplies,29574,Scandanavian
65121.70,Groceries,25881,South American
169579.50,Lodging,23442,Africa
54263.20,Home Supplies,28978,Eastern Europea
7124.60,Entertainment,20766,China
30682.30,Meals,22784,Mid East / Sout
30654.20,Meals,25251,Western Europea
102416.80,Home Supplies,26511,Scandanavian
240976.90,Entertainment,20763,China
112431.30,Lodging,22975,Africa
89814.10,Groceries,25414,Western Europea
37197.40,Lodging,23316,Africa
78493.90,Communication,20216,Africa
82176.50,Lodging,20250,Africa
76619.00,Meals,25509,Scandanavian
22480.40,Lodging,23104,Africa
58510.10,Home Supplies,26637,Scandanavian
45668.00,Lodging,20505,Japan
71967.80,Home Supplies,29236,Africa
46722.10,Electronics,24914,Scandanavian
118809.60,Misc,26916,Eastern Europea
207894.50,Groceries,25417,Scandanavian
224402.10,Entertainment,20892,China
6355.10,Home Supplies,28981,Mid East / Sout
51345.20,Clothing,29968,South American
50028.50,Misc,22491,Africa
70822.10,Electronics,22106,Japan
5585.60,Electronics,23423,Africa
81526.70,Entertainment,22383,Japan
34501.70,Electronics,22893,Mid East / Sout
178414.10,Lodging,23568,Mid East / Sout
2764.10,Communication,27318,Eastern Europea
36519.50,Entertainment,24871,Scandanavian
59621.60,Home Supplies,25128,Scandanavian
284.60,Communication,23405,Africa
5431.70,Entertainment,24341,Mid East / Sout
56116.10,Electronics,25381,Western Europea
79804.50,Entertainment,28784,Eastern Europea
171511.80,Misc,20533,Japan
141439.00,Communication,28746,South American
152251.10,Entertainment,27467,Eastern Europea
63776.90,Lodging,26313,South American
96534.40,Clothing,29264,South American
129497.10,Lodging,29550,Western Europea
35322.50,Clothing,28477,Western Europea
3790.10,Entertainment,26296,Scandanavian
163314.80,Home Supplies,29041,China
37887.50,Entertainment,26829,Eastern Europea
79913.20,Communication,22234,Japan
79212.10,Clothing,24180,Mid East / Sout
152930.20,Lodging,26164,South American
17897.60,Home Supplies,21361,Eastern Europea
270246.00,Communication,20809,China
19248.50,Groceries,28672,Mid East / Sout
58612.70,Lodging,28125,Western Europea
82649.20,Electronics,25378,Western Europea
171152.70,Home Supplies,27616,Eastern Europea
1242.20,Electronics,29932,South American
54816.50,Communication,27321,Eastern Europea
40942.30,Meals,29868,South American
36468.20,Lodging,21870,Japan
33640.60,Misc,24449,Mid East / Sout
160277.10,Electronics,21465,Japan
65555.30,Lodging,26167,South American
65589.50,Electronics,27977,Western Europea
92150.70,Communication,29276,Africa
61787.20,Electronics,23420,Africa
81736.80,Meals,22128,Japan
77416.60,Groceries,26714,Eastern Europea
62408.90,Electronics,27974,Western Europea
85220.30,Meals,23826,China
12887.30,Groceries,28732,Mid East / Sout
88035.70,Meals,27272,Eastern Europea
93678.70,Misc,29530,South American
86268.30,Clothing,20737,China
44830.10,Groceries,24902,Scandanavian
62374.70,Groceries,27561,Eastern Europea
290566.90,Clothing,24713,Scandanavian
32535.20,Communication,29216,Western Europea
50387.60,Clothing,25351,Western Europea
46694.00,Communication,22767,Mid East / Sout
102160.30,Clothing,21375,Eastern Europea
67612.20,Groceries,23648,Mid East / Sout
52508.00,Lodging,22400,Africa
36245.90,Electronics,28037,Western Europea
14916.10,Misc,25617,Scandanavian
153933.00,Misc,22551,Africa
57962.90,Misc,29593,Western Europea
196625.60,Meals,23359,Africa
53692.80,Entertainment,26826,Eastern Europea
144453.50,Clothing,21905,Japan
55397.90,Electronics,27339,Eastern Europea
180175.40,Lodging,21083,China
45787.70,Lodging,24996,Scandanavian
34672.70,Electronics,24591,Mid East / Sout
16204.70,Misc,29000,Eastern Europea
45377.30,Communication,22174,Japan
244659.50,Electronics,24654,South American
55021.70,Electronics,20294,China
38092.70,Home Supplies,27553,Eastern Europea
212004.60,Groceries,23651,Mid East / Sout
155985.00,Electronics,26082,South American
73421.30,Meals,27275,Eastern Europea
66359.00,Entertainment,21805,Eastern Europea
312134.90,Clothing,29201,South American
76065.70,Groceries,26711,Eastern Europea
42977.20,Electronics,24124,Mid East / Sout
142396.60,Misc,28210,South American
41085.20,Lodging,29487,China
6560.30,Meals,29233,Mid East / Sout
112300.60,Entertainment,24808,South American
106309.50,Electronics,24531,Mid East / Sout
365925.40,Communication,29067,Africa
19026.20,Entertainment,27530,South American
1988.50,Electronics,23360,Africa
119750.10,Entertainment,22320,Japan
233840.10,Communication,21384,Eastern Europea
17624.00,Lodging,21550,Eastern Europea
50011.40,Communication,29339,Japan
23626.10,Communication,27255,Eastern Europea
77371.40,Entertainment,29485,Scandanavian
25096.70,Misc,27892,Western Europea
1379.00,Communication,21387,Eastern Europea
70958.90,Lodging,23888,China
29884.70,Lodging,29613,Africa
195691.20,Communication,28809,China
130790.60,Home Supplies,25191,Western Europea
3225.80,Electronics,23486,Africa
34193.90,Groceries,24115,Mid East / Sout
36940.90,Electronics,24127,Mid East / Sout
36194.60,Meals,24146,Mid East / Sout
66359.00,Misc,25614,South American
262471.60,Misc,27895,Western Europea
30295.10,Electronics,21402,Eastern Europea
50045.60,Electronics,25956,South American
14033.00,Meals,21868,Japan
153300.30,Lodging,21547,Eastern Europea
39300.70,Communication,29213,Eastern Europea
133145.50,Home Supplies,25595,Western Europea
165629.40,Clothing,29204,Africa
77980.90,Meals,25892,South American
78773.60,Home Supplies,28194,Western Europea
48694.70,Groceries,24438,Mid East / Sout
22993.40,Misc,26470,Scandanavian
74036.90,Clothing,20734,China
48261.10,Clothing,29267,Japan
81065.00,Entertainment,21679,Eastern Europea
76886.50,Meals,26488,Scandanavian
78111.60,Misc,23066,Africa
66341.90,Home Supplies,25661,South American
57638.00,Electronics,21531,Japan
213161.30,Electronics,26079,South American
210698.90,Clothing,23333,Africa
73295.50,Lodging,24358,Mid East / Sout
78887.20,Communication,21659,Eastern Europea
65645.70,Home Supplies,25131,Scandanavian
68496.50,Clothing,23396,Africa
36451.10,Groceries,22160,Japan
99236.20,Home Supplies,22472,Africa
326356.00,Misc,23596,Mid East / Sout
100301.30,Communication,26791,Eastern Europea
13126.70,Groceries,22097,Japan
12921.50,Misc,20470,Japan
46824.70,Groceries,26923,Eastern Europea
78243.50,Meals,29021,Africa
19316.90,Entertainment,24404,Mid East / Sout
110988.80,Home Supplies,25194,Western Europea
13280.60,Entertainment,24934,Scandanavian
74464.40,Lodging,26954,Western Europea
4166.30,Clothing,26671,Scandanavian
121979.20,Home Supplies,22535,Africa
122691.30,Misc,20467,Japan
155004.20,Groceries,29459,Eastern Europea
311781.90,Meals,21275,Eastern Europea
126425.20,Clothing,26459,Scandanavian
149589.60,Groceries,29582,Africa
15452.30,Entertainment,27404,Eastern Europea
10937.90,Meals,21341,Eastern Europea
31953.80,Communication,24195,Mid East / Sout
47856.80,Lodging,26888,Eastern Europea
52901.30,Electronics,29082,Eastern Europea
6748.40,Home Supplies,22469,Africa
54628.40,Meals,29293,Mid East / Sout
109444.90,Meals,29018,China
51281.70,Entertainment,24401,Mid East / Sout
50148.20,Clothing,23456,Africa
267150.90,Electronics,28678,Japan
128225.60,Misc,20530,Japan
60288.50,Meals,29081,South American
71523.20,Home Supplies,22532,Africa
76465.10,Communication,24258,Mid East / Sout
67276.30,Entertainment,24805,Scandanavian
260264.50,Clothing,25992,South American
38896.40,Meals,29230,Japan
64478.00,Electronics,29211,Japan
23711.60,Clothing,26396,Scandanavian
105597.40,Clothing,20671,Japan
79543.10,Groceries,27627,Eastern Europea
12904.40,Groceries,22094,Japan
140766.00,Communication,20153,Japan
45001.10,Meals,29934,Japan
66034.10,Meals,24401,Mid East / Sout
35835.50,Home Supplies,28918,Mid East / Sout
117533.20,Home Supplies,22406,Africa
154200.50,Lodging,22466,Africa
101510.50,Groceries,22881,Africa
126590.10,Clothing,25417,Scandanavian
41557.90,Groceries,26648,Scandanavian
96425.70,Groceries,25477,Scandanavian
39426.50,Lodging,21487,Japan
190629.60,Clothing,21312,Eastern Europea
29371.70,Home Supplies,28469,Western Europea
32124.80,Clothing,22821,Mid East / Sout
84598.60,Clothing,24246,Mid East / Sout
148403.60,Meals,22251,Japan
142777.70,Misc,25551,Western Europea
57170.20,Misc,24042,China
116597.60,Electronics,26145,South American
33287.60,Misc,26530,Scandanavian
109804.00,Clothing,23267,Africa
86907.10,Lodging,20316,China
74629.30,Clothing,20333,China
184228.10,Groceries,27965,Western Europea
46232.30,Meals,23422,Africa
67299.50,Clothing,26734,Eastern Europea
41985.40,Groceries,24690,Scandanavian
4457.00,Groceries,25031,Scandanavian
121620.10,Home Supplies,24556,Mid East / Sout
95645.20,Meals,26018,South American
270252.10,Groceries,24693,Scandanavian
207039.50,Communication,23471,Africa
31286.90,Groceries,26199,Scandanavian
88736.80,Misc,21446,Japan
41369.80,Electronics,27911,Western Europea
158686.80,Meals,26021,South American
242128.70,Clothing,28992,Japan
626094.60,Meals,22254,Japan
46961.50,Lodging,25849,Scandanavian
96682.20,Communication,25237,Western Europea
64614.80,Meals,26359,Scandanavian
80368.80,Clothing,20330,China
85316.80,Electronics,23549,Mid East / Sout
35835.50,Misc,28150,Western Europea
45719.30,Groceries,26651,Scandanavian
111080.40,Home Supplies,21619,Eastern Europea
96842.20,Communication,26914,Eastern Europea
255476.50,Entertainment,25443,Scandanavian
273044.30,Communication,27384,South American
77798.90,Lodging,24083,China
80244.20,Groceries,28414,Western Europea
86872.90,Misc,29913,Western Europea
15640.40,Electronics,29720,Mid East / Sout
41529.80,Lodging,24930,South American
184033.90,Entertainment,22000,Japan
196694.00,Lodging,27996,South American
78122.60,Entertainment,25784,South American
121881.50,Clothing,25414,Western Europea
36639.20,Home Supplies,28128,Western Europea
130888.30,Lodging,26101,South American
103306.00,Lodging,29167,Japan
140748.90,Entertainment,22979,Africa
160163.50,Lodging,21484,Japan
94567.90,Electronics,20360,China
108145.30,Misc,25554,Western Europea
59376.10,Groceries,24055,China
265464.10,Communication,29851,Eastern Europea
31697.30,Electronics,27465,South American
8766.20,Misc,22617,Africa
80221.00,Groceries,21118,China
142800.90,Misc,21108,China
172965.30,Entertainment,29551,Eastern Europea
119875.90,Entertainment,25575,South American
66085.40,Lodging,21017,China
72013.00,Clothing,20674,Japan
35470.30,Entertainment,25446,Scandanavian
143164.90,Meals,23763,Mid East / Sout
102895.60,Home Supplies,27999,Western Europea
96767.70,Communication,23468,Africa
60601.20,Lodging,29038,Japan
49737.80,Misc,28874,Mid East / Sout
76584.80,Clothing,28013,Western Europea
66666.80,Home Supplies,20451,Japan
82621.10,Entertainment,22850,Mid East / Sout
45285.70,Home Supplies,27493,Eastern Europea
68986.30,Misc,21449,Japan
46363.00,Clothing,28010,Western Europea
56064.80,Lodging,22334,Japan
62785.10,Communication,22300,Japan
103197.30,Electronics,20612,Japan
28585.10,Lodging,25059,Scandanavian
139808.40,Lodging,29376,Scandanavian
83424.80,Lodging,25400,Western Europea
206276.10,Misc,29467,Scandanavian
285813.10,Entertainment,22509,Africa
95782.00,Lodging,29164,Africa
120440.20,Meals,20826,China
117533.20,Groceries,27968,Western Europea
61810.40,Entertainment,22976,Africa
128129.10,Lodging,28697,Japan
309644.40,Meals,27338,South American
123398.50,Meals,23170,Africa
182039.30,Meals,26997,South American
30055.70,Clothing,27884,Western Europea
26327.90,Lodging,24933,Scandanavian
35442.20,Lodging,26104,South American
128220.70,Misc,27446,Eastern Europea
282318.60,Entertainment,25572,Western Europea
62836.40,Communication,23342,Africa
34005.80,Electronics,25318,South American
27388.10,Groceries,22672,Africa
74332.50,Meals,24979,Scandanavian
110128.90,Clothing,22351,Japan
320554.20,Entertainment,28847,Africa
116398.50,Communication,20746,China
69214.70,Entertainment,23299,Africa
71209.30,Home Supplies,21152,China
70371.40,Communication,22171,Japan
49583.90,Clothing,25288,Western Europea
70833.10,Home Supplies,29511,China
66729.10,Lodging,27870,Western Europea
150444.60,Communication,23680,Mid East / Sout
41769.20,Home Supplies,24086,Mid East / Sout
126271.30,Groceries,23010,Africa
90190.30,Groceries,20076,Africa
169528.20,Misc,24509,Mid East / Sout
58988.90,Meals,22721,Mid East / Sout
22446.20,Groceries,20863,China
57266.70,Misc,22362,Japan
75928.90,Clothing,27435,Eastern Europea
80107.40,Electronics,25103,Scandanavian
94927.00,Lodging,28700,China
60698.90,Home Supplies,23514,Africa
299121.80,Clothing,25162,Western Europea
50575.70,Entertainment,23425,Africa
16820.30,Groceries,28669,South American
109068.70,Communication,22297,Japan
46146.80,Lodging,23505,Africa
16409.90,Home Supplies,24089,Mid East / Sout
78448.70,Clothing,22692,Mid East / Sout
119111.30,Entertainment,24021,China
54844.60,Misc,24512,Mid East / Sout
74560.90,Electronics,25441,Scandanavian
254930.50,Lodging,25846,Scandanavian
109746.60,Meals,20107,China
140304.30,Electronics,28040,South American
95183.50,Meals,22383,Japan
83748.50,Communication,25492,Scandanavian
68735.90,Communication,23216,Africa
32569.40,Lodging,27867,South American
87858.60,Meals,28039,Western Europea
82347.50,Misc,21913,Japan
99834.70,Entertainment,23763,Mid East / Sout
7073.30,Groceries,20414,China
80665.60,Home Supplies,21831,Japan
58971.80,Clothing,24950,South American
131332.90,Groceries,20073,China
55562.80,Groceries,22669,Africa
479907.90,Meals,25191,Western Europea
151618.40,Groceries,22884,Africa
81595.10,Meals,22125,Japan
69065.70,Communication,20872,China
246369.50,Electronics,25315,Western Europea
21215.00,Misc,24383,Mid East / Sout
83989.10,Communication,25234,Western Europea
76088.90,Lodging,28334,Western Europea
72446.60,Home Supplies,28915,South American
18154.10,Clothing,27309,Eastern Europea
148330.30,Lodging,23379,Africa
14751.20,Lodging,20445,Japan
128648.20,Home Supplies,26577,South American
168587.70,Communication,20279,China
113600.20,Electronics,22040,Japan
18906.50,Entertainment,21167,China
36177.50,Communication,25489,Scandanavian
193308.20,Groceries,26073,South American
104975.70,Entertainment,28380,South American
61571.00,Communication,27833,Western Europea
68428.10,Meals,27787,Western Europea
53955.40,Misc,27572,South American
155751.70,Electronics,22510,Africa
255221.20,Electronics,25444,Scandanavian
49287.10,Groceries,23139,Africa
85515.90,Home Supplies,29170,Eastern Europea
46636.60,Communication,27830,Western Europea
164113.60,Electronics,22381,Japan
199201.60,Meals,25443,Scandanavian
270189.80,Clothing,22099,Japan
452843.50,Misc,27105,Eastern Europea
75114.20,Communication,20408,China
196352.00,Groceries,25606,South American
130984.80,Lodging,23508,Africa
384466.70,Misc,27108,Eastern Europea
195155.00,Lodging,20313,China
75467.20,Electronics,22507,Africa
64118.90,Entertainment,20829,China
8287.40,Lodging,23041,Africa
38708.30,Meals,25446,Scandanavian
207101.80,Home Supplies,29173,Africa
66802.40,Entertainment,21170,China
109137.10,Groceries,25480,Scandanavian
138457.50,Entertainment,23396,Africa
21351.80,Entertainment,25311,South American
101059.80,Entertainment,27226,South American
193656.30,Misc,20358,China
42145.40,Electronics,21075,China
19436.60,Electronics,28735,Japan
69950.00,Meals,27022,Western Europea
48842.50,Home Supplies,20041,China
78784.60,Groceries,23450,Africa
32170.00,Home Supplies,24807,South American
94596.00,Groceries,29195,Western Europea
159832.50,Clothing,22348,Japan
98244.40,Clothing,28476,Western Europea
57945.80,Meals,26639,South American
9877.70,Meals,28001,Western Europea
196204.20,Misc,23635,Mid East / Sout
3242.90,Meals,25107,Scandanavian
79628.60,Meals,29533,Scandanavian
9108.20,Misc,20741,China
32996.90,Electronics,29714,Eastern Europea
19191.10,Lodging,23637,Mid East / Sout
5619.80,Lodging,29382,Mid East / Sout
20035.10,Entertainment,22417,Africa
43222.70,Lodging,25552,Western Europea
185498.40,Lodging,27467,Eastern Europea
47138.60,Misc,21294,Eastern Europea
199327.40,Electronics,22011,Japan
64266.70,Electronics,27799,Western Europea
187990.10,Meals,29490,Africa
65042.30,Meals,26086,South American
115964.90,Electronics,23969,China
75781.10,Clothing,23284,Africa
21625.40,Clothing,24689,Scandanavian
50380.30,Groceries,23493,Africa
48312.40,Clothing,29412,Western Europea
71329.00,Clothing,25199,Western Europea
78972.70,Misc,22699,Mid East / Sout
28072.10,Electronics,22990,Africa
73039.00,Communication,26430,Scandanavian
36109.10,Electronics,28778,Mid East / Sout
60385.00,Electronics,20096,Africa
83219.60,Meals,24171,Mid East / Sout
22394.90,Meals,27065,South American
291655.20,Meals,27575,Eastern Europea
122445.80,Entertainment,25268,Western Europea
79235.30,Lodging,28489,Western Europea
69608.00,Entertainment,23353,Africa
47360.90,Electronics,23033,Africa
115258.90,Misc,24614,Mid East / Sout
54235.10,Misc,24528,Mid East / Sout
135345.30,Misc,20698,Japan
80227.10,Meals,25150,Scandanavian
236212.10,Groceries,27323,Eastern Europea
167111.00,Groceries,22557,Africa
42949.10,Groceries,29238,Africa
95359.40,Groceries,23407,Africa
56936.90,Clothing,24220,Mid East / Sout
71967.80,Clothing,20859,China
387.20,Clothing,25582,Western Europea
59792.60,Clothing,27497,Eastern Europea
24007.20,Groceries,24472,Mid East / Sout
233931.70,Groceries,25322,Western Europea
131743.30,Electronics,24948,Scandanavian
69915.80,Misc,21763,Eastern Europea
66472.60,Communication,29238,Africa
260464.80,Electronics,23926,China
48557.90,Meals,28511,South American
182695.20,Misc,22613,Africa
82176.50,Entertainment,20502,Japan
17777.90,Lodging,27424,Eastern Europea
28482.50,Entertainment,20545,Japan
74013.70,Entertainment,22460,Africa
22035.80,Electronics,29671,Africa
5688.20,Meals,27618,Eastern Europea
35914.90,Communication,29281,China
33384.10,Electronics,23883,China
115498.30,Clothing,27540,Eastern Europea
26304.70,Clothing,20902,China
64016.30,Clothing,29455,Eastern Europea
60579.20,Home Supplies,20977,China
56988.20,Groceries,25365,Western Europea
206629.10,Home Supplies,29530,South American
60002.70,Clothing,23667,Mid East / Sout
89323.10,Electronics,21118,China
29929.90,Communication,24558,Mid East / Sout
138389.10,Misc,25081,Scandanavian
176094.60,Electronics,26906,Eastern Europea
5243.60,Electronics,27756,Western Europea
85032.20,Electronics,21968,Japan
38890.30,Meals,25193,Western Europea
119687.80,Lodging,27977,Western Europea
67573.10,Lodging,22787,Mid East / Sout
82108.10,Entertainment,29610,South American
69311.20,Entertainment,25225,South American
60203.00,Entertainment,23865,China
35607.10,Lodging,26617,Scandanavian
33578.30,Entertainment,29055,China
106172.70,Lodging,20872,China
71711.30,Lodging,24702,Scandanavian
195958.70,Lodging,28532,Scandanavian
196922.40,Electronics,28821,China
92491.50,Meals,27108,Eastern Europea
59091.50,Electronics,24819,South American
25558.40,Misc,26400,Scandanavian
43068.80,Communication,22643,Africa
18786.80,Clothing,27454,Eastern Europea
144681.90,Clothing,29369,South American
62597.00,Clothing,21709,Eastern Europea
117561.30,Groceries,20685,Japan
137625.70,Misc,24485,Mid East / Sout
74464.40,Communication,20728,China
110180.20,Meals,29023,Africa
123552.40,Electronics,29204,Africa
284815.20,Electronics,25970,South American
216363.90,Entertainment,22503,Africa
93935.20,Entertainment,22374,Japan
70946.70,Entertainment,20588,Japan
232033.60,Entertainment,21014,China
74584.10,Communication,21180,China
74926.10,Lodging,21808,Eastern Europea
149179.20,Lodging,25638,Scandanavian
122958.80,Communication,27409,Eastern Europea
47258.30,Electronics,20225,Japan
84827.00,Misc,25464,South American
101100.10,Meals,25746,South American
126031.90,Groceries,27237,Eastern Europea
24481.10,Clothing,26518,South American
185602.20,Clothing,25539,Scandanavian
72679.90,Groceries,29152,Western Europea
584268.00,Clothing,23624,Mid East / Sout
26892.20,Groceries,29281,China
69283.10,Groceries,27792,Western Europea
50809.00,Clothing,28433,Western Europea
140310.40,Groceries,26387,Scandanavian
26550.20,Clothing,25668,Western Europea
13160.90,Home Supplies,24764,Scandanavian
150666.90,Communication,25920,South American
132335.70,Electronics,25034,Scandanavian
135191.40,Misc,20315,China
47258.30,Meals,23831,China
93456.40,Electronics,23840,China
14785.40,Misc,23549,Mid East / Sout
316422.10,Electronics,26734,Eastern Europea
224943.20,Communication,20201,Japan
135693.40,Entertainment,25354,South American
115156.30,Entertainment,21438,Japan
56988.20,Entertainment,20078,Africa
86428.30,Lodging,26488,Scandanavian
52337.00,Entertainment,27269,Eastern Europea
26122.70,Entertainment,29184,China
72754.40,Communication,23069,Africa
24481.10,Misc,22230,Japan
149686.10,Electronics,23119,Africa
203305.60,Misc,26060,South American
20148.70,Clothing,26604,South American
22371.70,Clothing,29879,Western Europea
64666.10,Home Supplies,23828,China
66034.10,Clothing,24603,Mid East / Sout
80238.10,Clothing,23198,Africa
104229.40,Groceries,29066,Scandanavian
43558.60,Home Supplies,21913,Japan
96374.40,Groceries,24941,Scandanavian
269796.50,Clothing,28519,Mid East / Sout
45268.60,Clothing,21838,Japan
16683.50,Groceries,26301,Scandanavian
136747.50,Communication,24984,South American
136519.10,Communication,25494,Scandanavian
37066.70,Misc,24145,Mid East / Sout
149651.90,Misc,20229,Japan
177171.90,Electronics,21204,China
111217.20,Lodging,29468,Eastern Europea
22754.00,Entertainment,24289,Mid East / Sout
42994.30,Entertainment,22929,Mid East / Sout
20069.30,Lodging,27553,Eastern Europea
64649.00,Entertainment,28674,Mid East / Sout
65606.60,Entertainment,26419,Scandanavian
21710.90,Entertainment,26204,Scandanavian
276414.20,Entertainment,26759,Eastern Europea
82142.30,Electronics,27885,Western Europea
105995.60,Communication,23579,Mid East / Sout
46437.50,Misc,26910,Eastern Europea
296048.70,Electronics,20139,China
74720.90,Misc,25550,Western Europea
68832.40,Groceries,23536,Mid East / Sout
57660.00,Clothing,20433,Japan
3174.50,Groceries,21621,Eastern Europea
111069.40,Clothing,20773,China
14665.70,Groceries,22471,Africa
102177.40,Groceries,24386,Mid East / Sout
74071.10,Misc,27975,South American
97896.30,Electronics,29800,Japan
111582.40,Electronics,29290,South American
103391.50,Meals,28937,Africa
196209.10,Communication,22073,Japan
2387.90,Entertainment,27781,Western Europea
101544.70,Entertainment,21653,Eastern Europea
248592.50,Lodging,22873,Africa
58048.40,Entertainment,23951,China
93781.30,Lodging,26703,Eastern Europea
139911.00,Entertainment,20121,China
126453.30,Electronics,27375,Eastern Europea
55996.40,Misc,20186,Africa
21026.90,Home Supplies,28568,China
53203.00,Groceries,21707,Eastern Europea
53698.90,Clothing,26985,South American
71916.50,Groceries,29750,Scandanavian
19710.20,Home Supplies,27529,Eastern Europea
76356.40,Clothing,24091,Mid East / Sout
58766.60,Misc,28885,Japan
14443.40,Groceries,22090,Japan
219231.80,Electronics,29542,Eastern Europea
64050.50,Communication,23112,Africa
79799.60,Communication,24644,Mid East / Sout
79759.30,Entertainment,26845,Eastern Europea
120046.90,Communication,26839,Eastern Europea
105682.90,Lodging,23852,China
169522.10,Entertainment,21057,China
44522.30,Communication,22626,Africa
228893.30,Communication,23009,Africa
42863.60,Meals,28130,Western Europea
4132.10,Communication,27495,Eastern Europea
2148.50,Meals,24300,Mid East / Sout
16461.20,Misc,28782,Mid East / Sout
102622.00,Electronics,26013,South American
173204.70,Home Supplies,29504,Africa
85721.10,Home Supplies,27103,Eastern Europea
23352.50,Clothing,20261,Japan
61143.50,Groceries,21154,China
103374.40,Home Supplies,28508,Eastern Europea
421.40,Clothing,26049,South American
97406.50,Misc,27949,Western Europea
82792.10,Misc,28928,Eastern Europea
62368.60,Home Supplies,20805,China
13502.90,Communication,28474,Western Europea
56594.90,Communication,22176,Japan
60675.70,Entertainment,25440,South American
20342.90,Meals,20367,China
41427.20,Lodging,29044,Africa
32939.50,Communication,23945,China
14563.10,Entertainment,25823,Scandanavian
52621.60,Entertainment,29270,Japan
84536.30,Entertainment,29653,Scandanavian
184079.10,Communication,23562,Mid East / Sout
7791.50,Meals,29066,Scandanavian
103990.00,Misc,25888,South American
76448.00,Communication,28431,Western Europea
86319.60,Groceries,27878,Western Europea
41352.70,Groceries,21750,Eastern Europea
33845.80,Misc,27992,South American
106708.90,Clothing,22219,Japan
78790.70,Home Supplies,27572,South American
73045.10,Groceries,23112,Africa
148608.80,Clothing,28857,Scandanavian
32911.40,Electronics,24776,Scandanavian
344259.70,Home Supplies,24781,Scandanavian
223079.30,Electronics,23588,Mid East / Sout
19385.30,Misc,23123,Africa
67071.10,Communication,21240,China
59758.40,Meals,26301,Scandanavian
12134.90,Entertainment,29948,Mid East / Sout
33988.70,Lodging,23809,China
14728.00,Entertainment,23015,Africa
113252.10,Lodging,21851,Japan
63360.40,Meals,21389,Eastern Europea
107534.60,Meals,20470,Japan
104981.80,Clothing,27131,Eastern Europea
149008.20,Home Supplies,27206,Eastern Europea
31201.40,Electronics,24481,Mid East / Sout
148689.40,Groceries,25920,South American
112157.70,Groceries,24515,Mid East / Sout
26481.80,Home Supplies,28465,Western Europea
2370.80,Clothing,22262,Japan
188406.60,Home Supplies,23742,Mid East / Sout
205380.80,Groceries,25580,Western Europea
119328.70,Home Supplies,28611,Scandanavian
103477.00,Electronics,28606,China
199737.80,Communication,23708,Mid East / Sout
60915.10,Communication,24048,China
14135.60,Communication,29836,China
106297.30,Misc,25421,Scandanavian
189409.40,Entertainment,23482,Africa
31680.20,Communication,29264,South American
24087.80,Communication,25434,Scandanavian
50541.50,Entertainment,25952,South American
121739.80,Groceries,26985,South American
39512.00,Clothing,25920,South American
36581.80,Groceries,28173,Western Europea
44984.00,Clothing,28986,Scandanavian
