member_noSource,Month_Name,region_noSource,gender,Total
4890,Juin,7,1,9867
4890,Mai,7,1,4665.1
4890,Septembre,7,1,143200
4891,Août,5,0,92960
4891,Avril,5,0,6631.9
4891,Juillet,5,0,96594.5
4891,Juin,5,0,4664
4891,Mai,5,0,6435
4891,Octobre,5,0,8720
4891,Septembre,5,0,67360
4892,Août,3,1,76784
4892,Juin,3,1,44383.1
4892,Mai,3,1,5300.9
4892,Mars,3,1,2786.3
4892,Septembre,3,1,62896
4893,Août,4,0,59824
4893,Avril,4,0,2844.6
4893,Juillet,4,0,46317.3
4893,Juin,4,0,53520
4893,Mai,4,0,4123.9
4893,Mars,4,0,3690.5
4893,Octobre,4,0,76368
4894,Août,7,1,8528
4894,Juin,7,1,22234.2
4894,Mai,7,1,597.3
4894,Mars,7,1,1327.7
4894,Septembre,7,1,44672
4895,Août,9,0,97920
4895,Juillet,9,0,4159.1
4895,Juin,9,0,4048
4895,Mai,9,0,6765
4895,Mars,9,0,289.3
4895,Octobre,9,0,60176
4896,Août,9,1,30768
4896,Avril,9,1,5094.1
4896,Juillet,9,1,75832.4
4896,Juin,9,1,50649.8
4896,Mai,9,1,2126.3
4896,Mars,9,1,3283.5
4896,Octobre,9,1,27424
4896,Septembre,9,1,46368
4897,Août,8,0,92896
4897,Avril,8,0,17134.7
4897,Juillet,8,0,248432
4897,Mai,8,0,6419.6
4898,Août,8,1,290800
4898,Avril,8,1,369.6
4898,Juillet,8,1,15229.3
4898,Juin,8,1,39818.3
4898,Mai,8,1,20047.5
4898,Mars,8,1,2659.8
4898,Octobre,8,1,145328
4898,Septembre,8,1,18448
4899,Avril,2,0,7959.6
4899,Juillet,2,0,115456
4899,Juin,2,0,1661
4899,Septembre,2,0,23840
4900,Avril,6,1,3844.5
4900,Juillet,6,1,55760
4901,Avril,7,0,13471.7
4901,Juillet,7,0,198142.3
4901,Juin,7,0,12331
4901,Octobre,7,0,41008
4901,Septembre,7,0,178880
4902,Août,8,1,46464
4902,Avril,8,1,10862.5
4902,Juillet,8,1,157520
4902,Juin,8,1,5750.8
4902,Mai,8,1,3205.4
4902,Septembre,8,1,83328
4903,Août,5,0,21600
4903,Avril,5,0,5403.2
4903,Juillet,5,0,78272
4903,Juin,5,0,1954.7
4903,Mai,5,0,1496
4903,Septembre,5,0,28112
4904,Août,4,1,5424
4904,Juillet,4,1,8671.3
4904,Juin,4,1,43923.4
4904,Mai,4,1,383.9
4904,Mars,4,1,2657.6
4904,Octobre,4,1,125648
4904,Septembre,4,1,78464
4905,Août,3,0,23904
4905,Avril,3,0,6002.7
4905,Juillet,3,0,86672
4905,Juin,3,0,2719.2
4905,Mai,3,0,1654.4
4905,Septembre,3,0,39392
4906,Août,3,1,221280
4906,Juin,3,1,9954.4
4906,Mai,3,1,15279
4906,Mars,3,1,324.5
4906,Septembre,3,1,78304
4907,Août,3,0,145728
4907,Avril,3,0,6246.9
4907,Juillet,3,0,94486.4
4907,Juin,3,0,1411.3
4907,Mai,3,0,10040.8
4907,Octobre,3,0,57024
4907,Septembre,3,0,20208
4908,Août,6,1,96736
4908,Avril,6,1,9009
4908,Juillet,6,1,130720
4908,Juin,6,1,2912.8
4908,Mai,6,1,6672.6
4908,Septembre,6,1,42208
4909,Août,4,0,98624
4909,Avril,4,0,497.2
4909,Juillet,4,0,10067.3
4909,Juin,4,0,65158.8
4909,Mai,4,0,6813.4
4909,Mars,4,0,3538.7
4909,Octobre,4,0,43408
4909,Septembre,4,0,200608
4910,Août,7,1,55280
4910,Avril,7,1,878.9
4910,Juillet,7,1,12624
4910,Juin,7,1,72537
4910,Mai,7,1,3822.5
4910,Mars,7,1,4856.5
4910,Septembre,7,1,29760
4911,Août,6,0,75056
4911,Avril,6,0,872.3
4911,Juillet,6,0,12528
4911,Juin,6,0,4985.2
4911,Mai,6,0,5171.1
4911,Septembre,6,0,72352
4912,Août,5,1,7632
4912,Avril,5,1,6018.1
4912,Juillet,5,1,87216
4912,Juin,5,1,5095.2
4912,Mai,5,1,535.7
4912,Septembre,5,1,73952
4913,Août,5,0,80768
4913,Avril,5,0,5437.3
4913,Juillet,5,0,79849.9
4913,Juin,5,0,451
4913,Mai,5,0,5585.8
4913,Octobre,5,0,17904
4913,Septembre,5,0,6400
4914,Août,9,1,69696
4914,Avril,9,1,3104.2
4914,Juillet,9,1,46159.1
4914,Juin,9,1,3895.1
4914,Mai,9,1,4813.6
4914,Octobre,9,1,16816
4914,Septembre,9,1,56496
4915,Août,4,0,912
4915,Avril,4,0,2841.3
4915,Juillet,4,0,45394.8
4915,Juin,4,0,11041.8
4915,Mai,4,0,73.7
4915,Octobre,4,0,63648
4915,Septembre,4,0,160128
4916,Avril,2,1,3194.4
4916,Juillet,2,1,49249.8
4916,Juin,2,1,44112.6
4916,Mars,2,1,2197.8
4916,Octobre,2,1,42688
4916,Septembre,2,1,178336
4917,Août,9,0,61504
4917,Avril,9,0,10720.6
4917,Juillet,9,0,160785.5
4917,Juin,9,0,5551.7
4917,Mai,9,0,4250.4
4917,Octobre,9,0,77360
4917,Septembre,9,0,80432
4918,Août,8,1,2160
4918,Juin,8,1,7907.1
4918,Mai,8,1,159.5
4918,Mars,8,1,344.3
4918,Septembre,8,1,44336
4919,Août,8,0,95280
4919,Avril,8,0,1828.2
4919,Juillet,8,0,26432
4919,Mai,8,0,6572.5
4920,Août,6,1,75200
4920,Avril,6,1,8895.7
4920,Juillet,6,1,133282.8
4920,Juin,6,1,11904.2
4920,Mai,6,1,5181
4920,Octobre,6,1,61088
4920,Septembre,6,1,172672
4921,Août,2,0,72784
4921,Avril,2,0,4302.1
4921,Juillet,2,0,62416
4921,Mai,2,0,5036.9
4922,Août,5,1,74112
4922,Juillet,5,1,6081.9
4922,Mai,5,1,5117.2
4922,Octobre,5,1,88144
4923,Avril,6,0,4384.6
4923,Juillet,6,0,63616
4923,Juin,6,0,4988.5
4923,Septembre,6,0,72400
4924,Avril,4,1,8499.7
4924,Juillet,4,1,125778.2
4924,Juin,4,1,159031.7
4924,Mars,4,1,10663.4
4924,Octobre,4,1,35712
4924,Septembre,4,1,63952
4925,Août,9,0,226064
4925,Avril,9,0,12604.9
4925,Juillet,9,0,182704
4925,Juin,9,0,7121.4
4925,Mai,9,0,15585.9
4925,Septembre,9,0,103104
4926,Août,5,1,112064
4926,Avril,5,1,5170
4926,Juillet,5,1,84634.8
4926,Juin,5,1,15719.5
4926,Mai,5,1,7737.4
4926,Mars,5,1,711.7
4926,Octobre,5,1,141568
4926,Septembre,5,1,79920
4927,Août,4,0,42672
4927,Avril,4,0,14285.7
4927,Juillet,4,0,206992
4927,Juin,4,0,132160
4927,Mai,4,0,2944.7
4927,Mars,4,0,9108
4928,Août,2,1,63168
4928,Avril,2,1,9939.6
4928,Juillet,2,1,144256
4928,Juin,2,1,4983
4928,Mai,2,1,4364.8
4928,Septembre,2,1,72320
4929,Août,9,0,92624
4929,Avril,9,0,4798.2
4929,Juillet,9,0,80176.1
4929,Juin,9,0,49727.7
4929,Mai,9,0,6389.9
4929,Mars,9,0,2732.4
4929,Octobre,9,0,155056
4929,Septembre,9,0,149392
4930,Août,8,1,53664
4930,Juin,8,1,66296
4930,Mai,8,1,3711.4
4930,Mars,8,1,4199.8
4930,Septembre,8,1,77920
4931,Août,6,0,35152
4931,Juin,6,0,50838.5
4931,Mai,6,0,2427.7
4931,Mars,6,0,3406.7
4931,Septembre,6,0,20880
4932,Août,2,1,80704
4932,Avril,2,1,94.6
4932,Juillet,2,1,1216
4932,Juin,2,1,31396.8
4932,Mai,2,1,5570.4
4932,Mars,2,1,1996.5
4932,Septembre,2,1,36448
4933,Août,5,0,17104
4933,Avril,5,0,671
4933,Juillet,5,0,9600
4933,Juin,5,0,4188.8
4933,Mai,5,0,1197.9
4933,Septembre,5,0,60768
4934,Août,6,1,178496
4934,Avril,6,1,8526.1
4934,Juillet,6,1,124730
4934,Juin,6,1,48378.3
4934,Mai,6,1,12315.6
4934,Mars,6,1,3333
4934,Octobre,6,1,14880
4934,Septembre,6,1,688
4935,Août,2,0,65232
4935,Avril,2,0,110
4935,Juillet,2,0,1440
4935,Juin,2,0,64985.1
4935,Mai,2,0,4495.7
4935,Mars,2,0,3963.3
4935,Septembre,2,0,110896
4936,Avril,7,1,572
4936,Juillet,7,1,8160
4936,Juin,7,1,4718.2
4936,Mars,7,1,283.8
4936,Septembre,7,1,10752
4937,Août,6,0,39712
4937,Avril,6,0,14320.9
4937,Juillet,6,0,207824
4937,Juin,6,0,8243.4
4937,Mai,6,0,2752.2
4937,Septembre,6,0,119584
4938,Août,4,1,129056
4938,Avril,4,1,6187.5
4938,Juillet,4,1,93689.5
4938,Juin,4,1,12196.8
4938,Mai,4,1,8894.6
4938,Octobre,4,1,58160
4938,Septembre,4,1,176448
4939,Août,2,0,186576
4939,Avril,2,0,5012.7
4939,Juillet,2,0,72592
4939,Juin,2,0,96662.7
4939,Mai,2,0,12860.1
4939,Mars,2,0,6003.8
4939,Septembre,2,0,139952
4940,Août,8,1,23200
4940,Avril,8,1,12960.2
4940,Juillet,8,1,187872
4940,Juin,8,1,4312
4940,Mai,8,1,1606
4940,Septembre,8,1,62560
4941,Août,4,0,66256
4941,Avril,4,0,1634.6
4941,Juillet,4,0,23616
4941,Juin,4,0,16376.7
4941,Mai,4,0,4577.1
4941,Mars,4,0,1049.4
4941,Septembre,4,0,18352
4942,Août,9,1,48304
4942,Avril,9,1,6109.4
4942,Juillet,9,1,88384
4942,Juin,9,1,39704.6
4942,Mai,9,1,3331.9
4942,Mars,9,1,2421.1
4942,Septembre,9,1,67456
4943,Août,4,0,125456
4943,Juillet,4,0,4865.3
4943,Juin,4,0,53090.7
4943,Mai,4,0,8658.1
4943,Mars,4,0,3404.5
4943,Octobre,4,0,70288
4943,Septembre,4,0,56432
4944,Août,3,1,144688
4944,Avril,3,1,5815.7
4944,Juillet,3,1,87838.2
4944,Mai,3,1,9969.3
4944,Octobre,3,1,51712
4945,Août,7,0,99552
4945,Avril,7,0,5904.8
4945,Juillet,7,0,93326.3
4945,Juin,7,0,5211.8
4945,Mai,7,0,6866.2
4945,Octobre,7,0,112528
4945,Septembre,7,0,75648
4946,Avril,4,1,1907.4
4946,Juillet,4,1,27424
4946,Juin,4,1,2394.7
4946,Septembre,4,1,34512
4947,Août,5,0,55760
4947,Avril,5,0,2410.1
4947,Juillet,5,0,34896
4947,Juin,5,0,68565.1
4947,Mai,5,0,3855.5
4947,Mars,5,0,4328.5
4947,Septembre,5,0,83536
4948,Avril,2,1,7276.5
4948,Juillet,2,1,105360
4948,Juin,2,1,75086.3
4948,Mars,2,1,4989.6
4948,Septembre,2,1,41008
4949,Août,4,0,33936
4949,Avril,4,0,5456
4949,Juillet,4,0,82616.1
4949,Juin,4,0,61007.1
4949,Mai,4,0,2344.1
4949,Mars,4,0,3931.4
4949,Octobre,4,0,51856
4949,Septembre,4,0,57776
4950,Avril,5,1,3127.3
4950,Juillet,5,1,45345.1
4950,Juin,5,1,34112
4950,Mars,5,1,2356.2
4950,Octobre,5,1,2416
4951,Août,6,0,127440
4951,Avril,6,0,548.9
4951,Juillet,6,0,11837.9
4951,Juin,6,0,35846.9
4951,Mai,6,0,8783.5
4951,Mars,6,0,2409
4951,Octobre,6,0,58224
4951,Septembre,6,0,13904
4952,Août,2,1,14480
4952,Avril,2,1,10388.4
4952,Juillet,2,1,154003.7
4952,Juin,2,1,99281.4
4952,Mai,2,1,1006.5
4952,Mars,2,1,6237
4952,Octobre,2,1,46672
4952,Septembre,2,1,128544
4953,Août,9,0,136928
4953,Avril,9,0,1169.3
4953,Juillet,9,0,17811.6
4953,Juin,9,0,69423.4
4953,Mai,9,0,9446.8
4953,Mars,9,0,3911.6
4953,Octobre,9,0,13856
4953,Septembre,9,0,184064
4954,Août,7,1,79056
4954,Avril,7,1,5469.2
4954,Juillet,7,1,79392
4954,Juin,7,1,3484.8
4954,Mai,7,1,5468.1
4954,Septembre,7,1,50528
4955,Août,3,0,67968
4955,Avril,3,0,4912.6
4955,Juillet,3,0,71296
4955,Juin,3,0,38656
4955,Mai,3,0,4705.8
4955,Mars,3,0,2668.6
4956,Août,3,1,72496
4956,Avril,3,1,6469.1
4956,Juillet,3,1,100224.8
4956,Mai,3,1,5006.1
4956,Octobre,3,1,95808
4957,Août,8,0,87920
4957,Avril,8,0,816.2
4957,Juillet,8,0,11712
4957,Juin,8,0,77702.5
4957,Mai,8,0,6066.5
4957,Mars,8,0,4998.4
4957,Septembre,8,0,77040
4958,Août,2,1,80528
4958,Juillet,2,1,4466
4958,Mai,2,1,5558.3
4958,Octobre,2,1,64800
4959,Août,4,0,55712
4959,Avril,4,0,6925.6
4959,Juillet,4,0,100416
4959,Juin,4,0,5174.9
4959,Mai,4,0,3852.2
4959,Mars,4,0,324.5
4959,Septembre,4,0,8784
4960,Août,4,1,7056
4960,Avril,4,1,4951.1
4960,Juillet,4,1,71856
4960,Juin,4,1,170353.9
4960,Mai,4,1,496.1
4960,Mars,4,1,11217.8
4960,Septembre,4,1,111024
4961,Avril,5,0,5425.2
4961,Juillet,5,0,81121.4
4961,Juin,5,0,37201.5
4961,Mars,5,0,2081.2
4961,Octobre,5,0,34304
4961,Septembre,5,0,102800
4962,Août,6,1,173776
4962,Avril,6,1,3190
4962,Juillet,6,1,46240
4962,Juin,6,1,4689.3
4962,Mai,6,1,11980.1
4962,Septembre,6,1,67888
4963,Août,6,0,140864
4963,Avril,6,0,2483.8
4963,Juillet,6,0,37544.3
4963,Juin,6,0,27952
4963,Mai,6,0,9717.4
4963,Mars,6,0,1932.7
4963,Octobre,6,0,22768
4964,Août,2,1,55856
4964,Avril,2,1,12289.2
4964,Juillet,2,1,179656.4
4964,Juin,2,1,220451.3
4964,Mai,2,1,3851.1
4964,Mars,2,1,14921.5
4964,Octobre,2,1,22304
4964,Septembre,2,1,58608
4965,Août,9,0,81168
4965,Avril,9,0,7150
4965,Juillet,9,0,109033.7
4965,Juin,9,0,8160.9
4965,Mai,9,0,5602.3
4965,Octobre,9,0,77552
4965,Septembre,9,0,118224
4966,Août,8,1,105504
4966,Avril,8,1,41.8
4966,Juillet,8,1,448
4966,Juin,8,1,2440.9
4966,Mai,8,1,7297.4
4966,Septembre,8,1,35344
4967,Août,9,0,79824
4967,Juin,9,0,136928
4967,Mai,9,0,5498.9
4967,Mars,9,0,9435.8
4968,Août,8,1,96256
4968,Avril,8,1,4781.7
4968,Juillet,8,1,69891.4
4968,Juin,8,1,50753.1
4968,Mai,8,1,6639.6
4968,Mars,8,1,3003
4968,Octobre,8,1,7104
4968,Septembre,8,1,107216
4969,Avril,8,0,2240.7
4969,Juillet,8,0,32432
4969,Juin,8,0,7019.1
4969,Septembre,8,0,101616
4970,Août,3,1,56048
4970,Avril,3,1,10738.2
4970,Juillet,3,1,155552
4970,Juin,3,1,2600.4
4970,Mai,3,1,3864.3
4970,Septembre,3,1,37664
4971,Avril,4,0,15103
4971,Juillet,4,0,219040
4972,Août,9,1,85936
4972,Avril,9,1,14793.9
4972,Juillet,9,1,218187.2
4972,Juin,9,1,126477
4972,Mai,9,1,5930.1
4972,Mars,9,1,8578.9
4972,Octobre,9,1,52832
4972,Septembre,9,1,28960
4973,Août,6,0,114880
4973,Juillet,6,0,3843.4
4973,Juin,6,0,15572.7
4973,Mai,6,0,7920
4973,Octobre,6,0,55744
4973,Septembre,6,0,225872
4974,Août,6,1,13312
4974,Avril,6,1,5351.5
4974,Juillet,6,1,77680
4974,Juin,6,1,5054.5
4974,Mai,6,1,926.2
4974,Septembre,6,1,73200
4975,Août,8,0,54528
4975,Avril,8,0,7890.3
4975,Juillet,8,0,117956
4975,Juin,8,0,24384
4975,Mai,8,0,3770.8
4975,Mars,8,0,1687.4
4975,Octobre,8,0,55520
4976,Août,9,1,92496
4976,Avril,9,1,9795.5
4976,Juillet,9,1,142160
4976,Juin,9,1,1612.6
4976,Mai,9,1,6381.1
4976,Septembre,9,1,23296
4977,Août,9,0,143616
4977,Avril,9,0,11896.5
4977,Juillet,9,0,172601.8
4977,Juin,9,0,70736
4977,Mai,9,0,9906.6
4977,Mars,9,0,4874.1
4977,Octobre,9,0,448
4978,Avril,5,1,8418.3
4978,Juillet,5,1,127988.8
4978,Juin,5,1,7309.5
4978,Octobre,5,1,84928
4978,Septembre,5,1,106000
4979,Août,4,0,288208
4979,Avril,4,0,4193.2
4979,Juillet,4,0,64004.4
4979,Juin,4,0,15818.9
4979,Mai,4,0,19902.3
4979,Mars,4,0,804.1
4979,Octobre,4,0,45824
4979,Septembre,4,0,64464
4980,Août,9,1,49328
4980,Avril,9,1,500.5
4980,Juillet,9,1,7120
4980,Juin,9,1,4507.8
4980,Mai,9,1,3402.3
4980,Septembre,9,1,65408
4981,Août,9,0,109328
4981,Juillet,9,0,2527.8
4981,Juin,9,0,11980.1
4981,Mai,9,0,7560.3
4981,Octobre,9,0,36608
4981,Septembre,9,0,173616
4982,Août,5,1,56416
4982,Avril,5,1,665.5
4982,Juillet,5,1,13338.7
4982,Juin,5,1,6803.5
4982,Mai,5,1,3889.6
4982,Octobre,5,1,57712
4982,Septembre,5,1,98640
4983,Août,2,0,109296
4983,Avril,2,0,7440.4
4983,Juillet,2,0,109063.5
4983,Juin,2,0,116081.2
4983,Mai,2,0,7536.1
4983,Mars,2,0,7374.4
4983,Octobre,2,0,21200
4983,Septembre,2,0,134752
4984,Août,5,1,109216
4984,Juillet,5,1,4010.6
4984,Juin,5,1,58158.9
4984,Mai,5,1,7541.6
4984,Mars,5,1,3295.6
4984,Octobre,5,1,58176
4984,Septembre,5,1,150544
4985,Août,5,0,204032
4985,Avril,5,0,5275.6
4985,Juillet,5,0,77720
4985,Juin,5,0,46116.3
4985,Mai,5,0,14082.2
4985,Mars,5,0,2840.2
4985,Octobre,5,0,16480
4985,Septembre,5,0,72048
4986,Août,7,1,162464
4986,Avril,7,1,2779.7
4986,Juillet,7,1,40112
4986,Juin,7,1,24050.1
4986,Mai,7,1,11202.4
4986,Mars,7,1,1140.7
4986,Septembre,7,1,112656
4987,Août,3,0,211248
4987,Avril,3,0,185.9
4987,Juillet,3,0,4725.3
4987,Juin,3,0,6701.2
4987,Mai,3,0,14578.3
4987,Octobre,3,0,31568
4987,Septembre,3,0,96992
4988,Juillet,9,1,6114.9
4988,Juin,9,1,5157.9
4988,Octobre,9,1,88624
4988,Septembre,9,1,74864
4989,Août,2,0,68752
4989,Avril,2,0,9751.5
4989,Juillet,2,0,143006.8
4989,Juin,2,0,3482.6
4989,Mai,2,0,4748.7
4989,Octobre,2,0,28448
4989,Septembre,2,0,50336
4990,Août,3,1,23808
4990,Avril,3,1,12673.1
4990,Juillet,3,1,188697.8
4990,Juin,3,1,60106.4
4990,Mai,3,1,1647.8
4990,Mars,3,1,3875.3
4990,Octobre,3,1,76928
4990,Septembre,3,1,56544
4991,Août,4,0,62304
4991,Juillet,4,0,2680.7
4991,Juin,4,0,20259.8
4991,Mai,4,0,4294.4
4991,Mars,4,0,1208.9
4991,Octobre,4,0,38832
4991,Septembre,4,0,40928
4992,Avril,2,1,21771.2
4992,Juillet,2,1,315712
4992,Juin,2,1,25518.3
4992,Mars,2,1,929.5
4992,Septembre,2,1,176208
4993,Août,6,0,102512
4993,Avril,6,0,12683
4993,Juillet,6,0,183680
4993,Juin,6,0,71376
4993,Mai,6,0,7069.7
4993,Mars,6,0,4918.1
4994,Août,2,1,87216
4994,Avril,2,1,4932.4
4994,Juillet,2,1,71584
4994,Juin,2,1,1229.8
4994,Mai,2,1,6018.1
4994,Septembre,2,1,17728
4995,Avril,4,0,5698
4995,Juillet,4,0,82873.5
4995,Juin,4,0,72720
4995,Mars,4,0,5010.5
4995,Octobre,4,0,4400
4996,Août,5,1,68416
4996,Avril,5,1,5948.8
4996,Juillet,5,1,87710.1
4996,Juin,5,1,46897.5
4996,Mai,5,1,4736.6
4996,Mars,5,1,3001.9
4996,Octobre,5,1,24016
4996,Septembre,5,1,49200
4997,Août,8,0,163936
4997,Avril,8,0,5902.6
4997,Juillet,8,0,85536
4997,Juin,8,0,815.1
4997,Mai,8,0,11325.6
4997,Septembre,8,0,11696
4998,Août,7,1,39632
4998,Avril,7,1,1079.1
4998,Juillet,7,1,19431.7
4998,Juin,7,1,17450.9
4998,Mai,7,1,2735.7
4998,Mars,7,1,1147.3
4998,Octobre,7,1,58672
4998,Septembre,7,1,13264
4999,Août,5,0,51744
4999,Juillet,5,0,4712.4
4999,Juin,5,0,1159.4
4999,Mai,5,0,3568.4
4999,Octobre,5,0,68384
4999,Septembre,5,0,16704
5000,Août,4,1,68896
5000,Avril,4,1,5016
5000,Juillet,4,1,73629.4
5000,Juin,4,1,11431.1
5000,Mai,4,1,4747.6
5000,Mars,4,1,444.4
5000,Octobre,4,1,11904
5000,Septembre,4,1,74256
5001,Juin,5,0,102869.2
5001,Mars,5,0,5767.3
5001,Septembre,5,0,282272
5002,Août,7,1,186656
5002,Avril,7,1,1376.1
5002,Juillet,7,1,19856
5002,Juin,7,1,77900.3
5002,Mai,7,1,12865.6
5002,Mars,7,1,4620
5002,Septembre,7,1,157488
5003,Août,7,0,281168
5003,Avril,7,0,669.9
5003,Juillet,7,0,9584
5003,Juin,7,0,2458.5
5003,Mai,7,0,19396.3
5003,Septembre,7,0,35600
5004,Août,3,1,85232
5004,Avril,3,1,2446.4
5004,Juillet,3,1,35424
5004,Juin,3,1,130569
5004,Mai,3,1,5881.7
5004,Mars,3,1,8312.7
5004,Septembre,3,1,144640
5005,Août,2,0,115920
5005,Juillet,2,0,6376.7
5005,Juin,2,0,95328.5
5005,Mai,2,0,8013.5
5005,Mars,2,0,6381.1
5005,Octobre,2,0,92272
5005,Septembre,2,0,41040
5006,Août,6,1,119104
5006,Avril,6,1,8077.3
5006,Juillet,6,1,119238.8
5006,Juin,6,1,26993.8
5006,Mai,6,1,8221.4
5006,Mars,6,1,1687.4
5006,Octobre,6,1,32288
5006,Septembre,6,1,40128
5007,Août,3,0,62592
5007,Avril,3,0,2449.7
5007,Juillet,3,0,36897.6
5007,Juin,3,0,19142.8
5007,Mai,3,0,4325.2
5007,Mars,3,0,399.3
5007,Octobre,3,0,20576
5007,Septembre,3,0,195648
5008,Août,5,1,28304
5008,Juillet,5,1,815.1
5008,Juin,5,1,1681.9
5008,Mai,5,1,1956.9
5008,Octobre,5,1,11696
5008,Septembre,5,1,24304
5009,Juin,8,0,7255.6
5009,Septembre,8,0,105056
5010,Août,4,1,63440
5010,Avril,4,1,2374.9
5010,Juillet,4,1,38961.1
5010,Juin,4,1,4409.9
5010,Mai,4,1,4383.5
5010,Octobre,4,1,66256
5010,Septembre,4,1,63824
5011,Août,8,0,6608
5011,Avril,8,0,2979.9
5011,Juillet,8,0,45820.7
5011,Juin,8,0,141056.6
5011,Mai,8,0,465.3
5011,Mars,8,0,8849.5
5011,Octobre,8,0,38192
5011,Septembre,8,0,183616
5012,Août,5,1,75008
5012,Juillet,5,1,2305.6
5012,Juin,5,1,69946.1
5012,Mai,5,1,5167.8
5012,Mars,5,1,4569.4
5012,Octobre,5,1,33376
5012,Septembre,5,1,52816
5013,Août,5,0,171904
5013,Avril,5,0,11100.1
5013,Juillet,5,0,162385.1
5013,Juin,5,0,53463.1
5013,Mai,5,0,11851.4
5013,Mars,5,0,3346.2
5013,Octobre,5,0,20176
5013,Septembre,5,0,71856
5014,Août,5,1,66864
5014,Avril,5,1,9313.7
5014,Juillet,5,1,135623.4
5014,Juin,5,1,682
5014,Mai,5,1,4607.9
5014,Octobre,5,1,9024
5014,Septembre,5,1,9760
5015,Août,5,0,118480
5015,Avril,5,0,5196.4
5015,Juillet,5,0,75264
5015,Juin,5,0,37899.4
5015,Mai,5,0,8167.5
5015,Mars,5,0,2307.8
5015,Septembre,5,0,69824
5016,Août,6,1,115696
5016,Avril,6,1,4242.7
5016,Juillet,6,1,61392
5016,Juin,6,1,2644.4
5016,Mai,6,1,7987.1
5016,Septembre,6,1,38304
5017,Avril,2,0,17908
5017,Juillet,2,0,264697.6
5017,Juin,2,0,9984.7
5017,Octobre,2,0,70336
5017,Septembre,2,0,144912
5018,Août,6,1,138656
5018,Avril,6,1,17871.7
5018,Juillet,6,1,263536.6
5018,Juin,6,1,7305.1
5018,Mai,6,1,9565.6
5018,Octobre,6,1,63616
5018,Septembre,6,1,105936
5019,Avril,3,0,18569.1
5019,Juillet,3,0,269136
5019,Juin,3,0,5419.7
5019,Septembre,3,0,78512
5020,Août,8,1,89712
5020,Avril,8,1,3610.2
5020,Juillet,8,1,52032
5020,Juin,8,1,42489.2
5020,Mai,8,1,6200.7
5020,Mars,8,1,2552
5020,Septembre,8,1,82432
5021,Août,5,0,199696
5021,Avril,5,0,5300.9
5021,Juillet,5,0,76944
5021,Juin,5,0,59284.4
5021,Mai,5,0,13795.1
5021,Mars,5,0,3674
5021,Septembre,5,0,89344
5022,Août,8,1,117584
5022,Avril,8,1,10014.4
5022,Juillet,8,1,145394.6
5022,Juin,8,1,16688.3
5022,Mai,8,1,8116.9
5022,Mars,8,1,1116.5
5022,Octobre,8,1,576
5022,Septembre,8,1,8688
5023,Août,5,0,62560
5023,Avril,5,0,8493.1
5023,Juillet,5,0,123056
5023,Juin,5,0,3043.7
5023,Mai,5,0,4312
5023,Septembre,5,0,43952
5024,Août,4,1,129216
5024,Avril,4,1,6051.1
5024,Juillet,4,1,97645.5
5024,Juin,4,1,74260.3
5024,Mai,4,1,8927.6
5024,Mars,4,1,4738.8
5024,Octobre,4,1,144400
5024,Septembre,4,1,79728
5025,Août,6,0,80960
5025,Avril,6,0,5300.9
5025,Juillet,6,0,76784
5025,Juin,6,0,1290.3
5025,Mai,6,0,5588
5025,Septembre,6,0,18608
5026,Juillet,2,1,110
5026,Octobre,2,1,1440
5027,Août,3,0,71776
5027,Mai,3,0,4945.6
5028,Août,8,1,6992
5028,Avril,8,1,5993.9
5028,Juillet,8,1,89610.7
5028,Juin,8,1,169883.6
5028,Mai,8,1,491.7
5028,Mars,8,1,11348.7
5028,Octobre,8,1,39632
5028,Septembre,8,1,79136
5029,Août,6,0,108352
5029,Avril,6,0,2923.8
5029,Juillet,6,0,45220.4
5029,Juin,6,0,2104.3
5029,Mai,6,0,7482.2
5029,Octobre,6,0,45824
5029,Septembre,6,0,30128
5030,Avril,4,1,4907.1
5030,Juillet,4,1,72168.1
5030,Juin,4,1,112294.8
5030,Mars,4,1,7430.5
5030,Octobre,4,1,16016
5030,Septembre,4,1,67968
5031,Août,5,0,56288
5031,Avril,5,0,10107.9
5031,Juillet,5,0,151926.3
5031,Juin,5,0,6116
5031,Mai,5,0,3891.8
5031,Octobre,5,0,78128
5031,Septembre,5,0,88640
5032,Août,2,1,151184
5032,Avril,2,1,12196.8
5032,Juillet,2,1,178742
5032,Juin,2,1,3576.1
5032,Mai,2,1,10437.9
5032,Octobre,2,1,30880
5032,Septembre,2,1,51856
5033,Août,6,0,55888
5033,Avril,6,0,10192.6
5033,Juillet,6,0,147776
5033,Juin,6,0,96189.8
5033,Mai,6,0,3853.3
5033,Mars,6,0,5969.7
5033,Septembre,6,0,140448
5034,Août,8,1,53120
5034,Avril,8,1,12427.8
5034,Juillet,8,1,183337.8
5034,Mai,8,1,3674
5034,Octobre,8,1,46528
5035,Août,6,0,52624
5035,Avril,6,0,5864.1
5035,Juillet,6,0,87298.1
5035,Juin,6,0,5038.1
5035,Mai,6,0,3628.9
5035,Mars,6,0,315.7
5035,Octobre,6,0,33616
5035,Septembre,6,0,8656
5036,Août,8,1,46160
5036,Juillet,8,1,1675.3
5036,Juin,8,1,10826.2
5036,Mai,8,1,3184.5
5036,Octobre,8,1,24208
5036,Septembre,8,1,156992
5037,Août,9,0,106624
